trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1116B94971_R01_WKDY,07:15:00,07:15:00,3F56F87E65,0,,,
1116B94971_R01_WKDY,07:16:00,07:16:00,5D6D58DB42,1,,,
1116B94971_R01_WKDY,07:16:00,07:16:00,BFD4717811,2,,,
1116B94971_R01_WKDY,07:16:00,07:16:00,DC301BC54C,3,,,
1116B94971_R01_WKDY,07:17:00,07:17:00,C43B92367A,4,,,
1116B94971_R01_WKDY,07:17:00,07:17:00,F98DB5D7AC,5,,,
1116B94971_R01_WKDY,07:18:00,07:18:00,455590F2B4,6,,,
1116B94971_R01_WKDY,07:20:00,07:20:00,B1DFE3AF9C,7,,,
20A546C35C_R01_SAT,08:15:00,08:15:00,3F56F87E65,0,,,
20A546C35C_R01_SAT,08:16:00,08:16:00,0AEDA82A62,1,,,
20A546C35C_R01_SAT,08:16:00,08:16:00,BBF5BC26A5,2,,,
20A546C35C_R01_SAT,08:17:00,08:17:00,0995B4DB83,3,,,
20A546C35C_R01_SAT,08:18:00,08:18:00,1DBA371981,4,,,
20A546C35C_R01_SAT,08:18:00,08:18:00,E699824C55,5,,,
20A546C35C_R01_SAT,08:20:00,08:20:00,AC99025726,6,,,
20A546C35C_R01_SAT,08:21:00,08:21:00,E3FF4B7551,7,,,
20A546C35C_R01_SAT,08:22:00,08:22:00,AC78C57369,8,,,
20A546C35C_R01_SAT,08:22:00,08:22:00,0A104674DB,9,,,
20A546C35C_R01_SAT,08:23:00,08:23:00,FBD228EF7C,10,,,
20A546C35C_R01_SAT,08:27:00,08:27:00,D95F564634,11,,,
20A546C35C_R01_SAT,08:27:00,08:27:00,38A190E4D0,12,,,
20A546C35C_R01_SAT,08:27:00,08:27:00,96F2E15E05,13,,,
20A546C35C_R01_SAT,08:28:00,08:28:00,F358E52458,14,,,
20A546C35C_R01_SAT,08:28:00,08:28:00,23D39BB2D5,15,,,
20A546C35C_R01_SAT,08:28:00,08:28:00,3764D588AB,16,,,
20A546C35C_R01_SAT,08:29:00,08:29:00,D63D41607B,17,,,
20A546C35C_R01_SAT,08:29:00,08:29:00,E4BE19DCFC,18,,,
20A546C35C_R01_SAT,08:29:00,08:29:00,36FC2AAEFB,19,,,
20A546C35C_R01_SAT,08:29:00,08:29:00,96C4B28B98,20,,,
20A546C35C_R01_SAT,08:29:00,08:29:00,DD524DD92F,21,,,
20A546C35C_R01_SAT,08:30:00,08:30:00,019882FE7E,22,,,
20A546C35C_R01_SAT,08:30:00,08:30:00,B02B2E7B26,23,,,
20A546C35C_R01_SAT,08:31:00,08:31:00,68D508E3BE,24,,,
20A546C35C_R01_SAT,08:31:00,08:31:00,9F709FDB29,25,,,
20A546C35C_R01_SAT,08:32:00,08:32:00,9A84DFC5F1,26,,,
20A546C35C_R01_SAT,08:33:00,08:33:00,4D24B9DA0D,27,,,
20A546C35C_R01_SAT,08:34:00,08:34:00,24E16668B3,28,,,
20A546C35C_R01_SAT,08:37:00,08:37:00,B60F82AC64,29,,,
20A546C35C_R01_SAT,08:38:00,08:38:00,56C27A5012,30,,,
20A546C35C_R01_SAT,08:39:00,08:39:00,3F56F87E65,31,,,
20A546C35C_R01_WKDY,08:15:00,08:15:00,3F56F87E65,0,,,
20A546C35C_R01_WKDY,08:16:00,08:16:00,0AEDA82A62,1,,,
20A546C35C_R01_WKDY,08:16:00,08:16:00,BBF5BC26A5,2,,,
20A546C35C_R01_WKDY,08:17:00,08:17:00,0995B4DB83,3,,,
20A546C35C_R01_WKDY,08:18:00,08:18:00,1DBA371981,4,,,
20A546C35C_R01_WKDY,08:18:00,08:18:00,E699824C55,5,,,
