stop_id,stop_name,stop_desc,stop_lat,stop_lon
3F56F87E65,"Transfer Center","",44.810060,-91.497640
9F0E64DAB2,"Walmart Supercenter","",44.775970,-91.429180
5A52D3DAB2,"Gateway and S.Hastings Service Rd","Past the entrances to Target",44.780780,-91.434250
63FEA496C1,"Festival Foods lot N","North parking Lot",44.789320,-91.459730
7CCA4EE43B,"Vine and Delong Middle School Driveway","Sign is near Driveway",44.819230,-91.535290
E31390AC08,"Starr and Connell's 2 entrance","by the Airport Terminal",44.862330,-91.482250
461589DB2C,"Margaret and Main","Sign is Located on Margaret St",44.812270,-91.478650
AC729B9CEE,"Margaret and Altoona","Even numbered side of street.",44.809160,-91.478650
FF5192DA85,"Margaret and Highland","Even numbered side of street.",44.807340,-91.478640
DAE51C9EA6,"Margaret and Fenwick","Even numbered side of street.",44.803720,-91.478630
908738A94F,"Rudolph and Benton","Sign is between the Church and Benton Street.",44.796760,-91.478560
0BD3731D52,"Fairfax and Skeels","At the Stop Sign",44.789498,-91.468369
548ECD3057,"Festival Foods lot S","At the Island even with the Festival Store South entrance.",44.787510,-91.459750
942DAC8E65,"Mall Dr and E. Hamilton","Eau Claire Auto Group Parking Lot",44.786860,-91.461250
65A8CA15C1,"E. Hamilton and Family Dollar","Past the Second Family Dollar driveway from HWY 93",44.785550,-91.458170
A10ECC4BD2,"E. Hamilton and Miller","At the Crosswalk",44.785520,-91.455020
45D87ED9BC,"E. Hamilton and Cypress","At the Crosswalk.",44.783940,-91.449030
F61369EEBB,"Oakwood Mall Dr and Northwoods Pub","Before the driveway",44.780400,-91.441390
012658BB4C,"Runway and Robin","Odd side of street",44.871330,-91.463770
60772DDE9B,"Abbe Hill and LaSalle","Even side of street at stop sign",44.840020,-91.468240
5D6D58DB42,"Barstow and Eau Claire","Odd side of street",44.812180,-91.500540
BFD4717811,"Barstow and Galloway","Odd side of street",44.814540,-91.501250
8016DCCB5B,"Barstow and William","Odd side of street",44.817630,-91.502060
6E2AF39F2C,"Barstow and Oak","Odd side of street",44.818840,-91.502370
40DBAB86EE,"Oak and Forest","Even side of street at stop sign",44.818680,-91.504970
A7711EC5BF,"Forest and Elm","Odd side of street",44.819790,-91.505260
00E1981F20,"Forest and Huyssen","Odd side of street",44.820990,-91.505640
402E19BCB0,"Forest and Sara","Odd side of street",44.822110,-91.505880
29FD7711B1,"Addison and Sheridan","Odd side of street",44.829030,-91.506550
B8EE8F4CE4,"Addison and Pershing","Odd side of street",44.829030,-91.504930
328ADBFC5B,"Pershing and Dulaney","Even side of street at stop sign",44.827550,-91.504850
375D301818,"Eddy and Cliff","Odd side of street",44.822110,-91.502140
265A15DF16,"Birch and Germania","Odd side of street",44.820410,-91.496900
1C348898E6,"Birch and Putnam","Odd side of street",44.820410,-91.494320
C1E10648AA,"Birch and Centre","Odd side of street",44.820420,-91.491790
E15686BB7D,"Birch and Mc Donough","Odd side of street",44.820420,-91.489150
AC249B1FDE,"Birch and Fall","Odd side of street",44.820430,-91.486570
05CD13BA24,"Birch and Holm","Odd side of street",44.820430,-91.483930
4CF4FBD21A,"Starr and Omaha","Odd side of street",44.821850,-91.478580
5BD87AF65C,"Starr and Somona Pkwy","Odd side of street",44.822390,-91.478580
0EC9F3F228,"Starr and Seymour","Odd side of street",44.825710,-91.478610
6B3F48BF31,"Seymour and Western","Odd side of street",44.826170,-91.477020
2949EA450C,"Western and Peebles","Odd side of street",44.828770,-91.477130
2980B21C38,"Western and Conrad","Odd side of street",44.832400,-91.477320
A599E1C67D,"Western and Trailer Court","by mailboxes",44.834590,-91.477460
58E5C05B1C,"Redwood and Starr","Odd side of street",44.836180,-91.479540
51784C0A6C,"Starr and La Salle","Odd side of street",44.839610,-91.479720
60FA052BDC,"Starr and Marquette","Odd side of street",44.843560,-91.479790
6E7900CCBD,"Piedmont and Mercury","Even side of street at stop sign",44.846660,-91.481170
A1D37F6087,"Piedmont and Saturn","Even side of street at stop sign",44.847070,-91.485760
7B7C201535,"Piedmont and Wellington E","Even side of street at stop sign",44.847080,-91.490860
1EB54F7F38,"Wellington E and Eddy","Odd side of street",44.850500,-91.490830
FCD8153BE2,"Eddy and Uranus","Odd side of street",44.850550,-91.487250
C67C3A878E,"Eddy and Moon","Odd side of street",44.850640,-91.479660
055FEFFCFB,"Starr and Eddy Ln","Odd side of street by Hope Lutheran Church",44.851500,-91.478070
647AC00859,"Starr and Regional Airport","Odd side of street",44.862320,-91.478240
4827999EAD,"White and Melby","Odd side of street",44.864950,-91.468270
0F1888074C,"White and Hogarth","Odd side of street",44.868300,-91.468500
1AB19D9E4E,"White and Runway","Odd side of street",44.870870,-91.468670
6B05206FAB,"Runway and Cardinal","Odd side of street",44.871180,-91.463730
E8FA3C4ACD,"Robin and Hogarth","Even side of street at stop sign",44.868620,-91.458510
EE11B4A858,"Robin and Melby","Even side of street at stop sign",44.864890,-91.458320
A43A4E6D6F,"Melby and Anderson","Odd side of street",44.864720,-91.456890
30105ACCBB,"N Hastings Way Service Road and Presto","Even side of street at stop sign",44.862400,-91.455490
CEFB041877,"Locust Lane and Dale","Even side of street at stop sign",44.857550,-91.457840
FC9CAC9EBD,"Locust Lane and Delbert","Even side of street at stop sign",44.855740,-91.459830
FB35C46754,"Locust Lane and Potter","Even side of street at stop sign",44.854050,-91.461970
BF1471CA90,"Locust Lane and Pinehurst","Even side of street at stop sign",44.852550,-91.464400
4B638B5226,"Birch St and Erin St SE","Even side of street at stop sign",44.820530,-91.498150
834F39C0D5,"Abbe Hill and Solem","Even side of street",44.848170,-91.468100
BCF3EB40A6,"Abbe Hill and Mandy","Even side of street",44.845770,-91.468130
7F8BF33B98,"La Salle and N. Hastings Way Frontage Rd","Even side of street",44.839940,-91.473140
D4179325D0,"Zephyr Hill and Conrad","Even side of street",44.832660,-91.473540
F38A103DCD,"Zephyr Hill and Peebles","Even side of street",44.829050,-91.473640
7086292442,"Zephyr Hill and Seymour","Even side of street",44.826560,-91.473620
079B0703BE,"Seymour and Morningside","Even side of street",44.826000,-91.469180
