route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
Route1,MTU,1,South Ave,"The Shelby Mall bus operates between downtown and Shelby Mall with service to Gundersen Lutheran Medical Center.  The route operates M-F 5:10 a.m. - 10:40 p.m., Sat. 7:40 a.m. - 7:40 p.m., Sun 7:40 a.m. - 6:40 p.m.  ",3,,83C0E8,
Route2,MTU,2,Green Bay,"The Green Bay bus operates between downtown and Central High School with service to Franciscan Skep Medical Center and Viterbo University. The route operates M-F 5:40 a.m. - 10:10 p.m., Sat. 7:40 a.m. - 7:10 p.m., Sun. 7:40 a.m. - 6:10 p.m.",3,,FDC689,
Route4,MTU,4,Losey Boulevard,"The Southside bus operates between downtown and 33rd & Mormon Coulee Road with service to UW-La Crosse and Wal-Mart South. The route operates M-F 5:10 a.m. - 10:40 p.m., Sat. 7:40 a.m. to 7:40 p.m., Sun. 7:40 a.m. -6:40 p.m.",3,,D1E39A,
Route5,MTU,5,Valley View Mall,"The Valley View Mall bus operates between downtown and Valley View Mall with service to UW-La Crosse. The route operates M-F 5:10 a.m. - 10:40 p.m., Sat. 7:40 a.m. - 7:40 p.m., Sun. 7:40 a.m. - 6:40 p.m.",3,,57BD84,
Route6,MTU,6,Northside,"The Northside bus operates between downtow and Taylor & Hamilton Street with service to the Clinton & Caledonia Street transfer hub. The route operates M-F 5:10 a.m. - 10:40 p.m., Sat. 7:40 a.m. - 7:40 p.m., Sun. 7:40 a.m. - 6:40 p.m.",3,,657BBD,
Route7,MTU,7,French Island,The French Island bus operates between the Clinton & Caledonia transfer hub and French Island with service to the Airport. The route operates Monday - Friday from 5:55 a.m - 5:55 p.m,3,,CC9999,
Route8,MTU,8,Crossing Meadows,The Crossing Meadows bus operates between the Clinton & Caledonia transfer hub and Crossing Meadows Shopping Center with service to the NE Industrial Park. The route operates Monday - Friday from 6:25 a.m. - 4:55 p.m.,3,,78CDD1,
Route9,MTU,9,Onalaska,The Onalaska bus operates between the Clinton & Caledonia transfer hub and Valley View Mall with service to Onalaska. The route operates Monday - Friday from 6:55 a.m. - 6:25 p.m.,3,,BC9DCA,
Route10,MTU,10,La Crescent,The La Crescent bus operates between downtown La Crosse and La Crescent. The route operates Monday - Friday from 5:55 a.m. - 6:10 p.m.,3,,F7ACBB,
RouteGO,MTU,GO,MTU GO,"The MTU GO bus is a circulator route between UW-La Crosse and Western Technical College.  The route operates M-F, during the UW-La Crosse school year.   Route runs every 10 minutes from 7:10 a.m. - 5 p.m and every 20 minutes from 5 p.m. to 10 p.m.  ",3,,708090,
