trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
Rt10AMTrp1,5:42:00,5:42:00,0,1,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,5:45:00,5:45:00,424,2,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,5:55:00,5:55:00,426,3,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,5:57:00,5:57:00,427,4,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,6:00:00,6:00:00,428,5,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,6:03:00,6:03:00,430,6,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,6:05:00,6:05:00,444,7,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,6:08:00,6:08:00,432,8,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,6:11:00,6:11:00,433,9,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,6:12:00,6:12:00,434,10,Downtown from La Crescent (Inbound),,
Rt10AMTrp1,6:17:00,6:17:00,425,11,Downtown from La Crescent (Inbound),,
Rt10AMTrp1,6:22:00,6:22:00,435,12,Downtown from La Crescent (Inbound),,
Rt10AMTrp1,6:30:00,6:30:00,0,13,Downtown from La Crescent (Inbound),,
Rt10AMTrp2,6:42:00,6:42:00,0,1,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,6:45:00,6:45:00,424,2,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,6:55:00,6:55:00,426,3,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,6:57:00,6:57:00,427,4,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,7:00:00,7:00:00,428,5,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,7:03:00,7:03:00,430,6,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,7:05:00,7:05:00,444,7,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,7:08:00,7:08:00,432,8,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,7:11:00,7:11:00,433,9,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,7:12:00,7:12:00,434,10,Downtown from La Crescent (Inbound),,
Rt10AMTrp2,7:17:00,7:17:00,425,11,Downtown from La Crescent (Inbound),,
Rt10AMTrp2,7:22:00,7:22:00,435,12,Downtown from La Crescent (Inbound),,
Rt10AMTrp2,7:30:00,7:30:00,0,13,Downtown from La Crescent (Inbound),,
Rt10AMTrp3,7:42:00,7:42:00,0,1,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,7:45:00,7:45:00,424,2,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,7:55:00,7:55:00,426,3,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,7:57:00,7:57:00,427,4,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,8:00:00,8:00:00,428,5,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,8:03:00,8:03:00,430,6,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,8:05:00,8:05:00,444,7,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,8:08:00,8:08:00,432,8,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,8:11:00,8:11:00,433,9,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,8:12:00,8:12:00,434,10,Downtown from La Crescent (Inbound),,
Rt10AMTrp3,8:17:00,8:17:00,425,11,Downtown from La Crescent (Inbound),,
Rt10AMTrp3,8:22:00,8:22:00,435,12,Downtown from La Crescent (Inbound),,
Rt10AMTrp3,8:30:00,8:30:00,0,13,Downtown from La Crescent (Inbound),,
Rt10AMTrp4,8:42:00,8:42:00,0,1,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,8:45:00,8:45:00,424,2,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,8:55:00,8:55:00,426,3,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,8:57:00,8:57:00,427,4,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,9:00:00,9:00:00,428,5,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,9:03:00,9:03:00,430,6,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,9:05:00,9:05:00,444,7,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,9:08:00,9:08:00,432,8,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,9:11:00,9:11:00,433,9,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,9:12:00,9:12:00,434,10,Downtown from La Crescent (Inbound),,
Rt10AMTrp4,9:17:00,9:17:00,425,11,Downtown from La Crescent (Inbound),,
Rt10AMTrp4,9:22:00,9:22:00,435,12,Downtown from La Crescent (Inbound),,
Rt10AMTrp4,9:30:00,9:30:00,0,13,Downtown from La Crescent (Inbound),,
Rt10AMTrp5,9:42:00,9:42:00,0,1,La Crescent from Downtown (Outbound),,
Rt10AMTrp5,9:45:00,9:45:00,424,2,La Crescent from Downtown (Outbound),,
Rt10AMTrp5,9:55:00,9:55:00,426,3,La Crescent from Downtown (Outbound),,
Rt10AMTrp5,9:57:00,9:57:00,427,4,La Crescent from Downtown (Outbound),,
Rt10AMTrp5,10:00:00,10:00:00,428,5,La Crescent from Downtown (Outbound),,
Rt10AMTrp5,10:03:00,10:03:00,430,6,La Crescent from Downtown (Outbound),,
Rt10AMTrp5,10:05:00,10:05:00,444,7,La Crescent from Downtown (Outbound),,
Rt10AMTrp5,10:08:00,10:08:00,432,8,La Crescent from Downtown (Outbound),,
Rt10AMTrp5,10:11:00,10:11:00,433,9,La Crescent from Downtown (Outbound),,
Rt10AMTrp5,10:12:00,10:12:00,434,10,Downtown from La Crescent (Inbound),,
Rt10AMTrp5,10:17:00,10:17:00,425,11,Downtown from La Crescent (Inbound),,
